DataHora,Temperatura_Real,Regressão Linear_Previsto,Regressão Linear_Erro,Regressão Linear_Margem_Erro,Regressão Linear_%_Erro,Random Forest_Previsto,Random Forest_Erro,Random Forest_Margem_Erro,Random Forest_%_Erro,SVR_Previsto,SVR_Erro,SVR_Margem_Erro,SVR_%_Erro
2025-05-23 09:00:00,23.8,23.84694863946042,-0.04694863946042105,0.04694863946042105,0.19726319101017248,23.896453534336853,-0.09645353433685244,0.09645353433685244,0.4052669509951783,23.98512841560138,-0.18512841560137971,0.18512841560137971,0.7778504857200828
2025-05-23 10:00:00,24.4,24.159951725066975,0.24004827493302372,0.24004827493302372,0.983804405463212,24.391341008703627,0.00865899129637171,0.00865899129637171,0.035487669247425045,24.22791221267509,0.1720877873249087,0.1720877873249087,0.7052778169053636
2025-05-23 11:00:00,26.2,26.093413594780408,0.10658640521959128,0.10658640521959128,0.40681834053279115,26.170706684631597,0.029293315368402517,0.029293315368402517,0.11180654720764319,25.930428430206995,0.2695715697930048,0.2695715697930048,1.0288991213473466
2025-05-23 12:00:00,28.6,28.675665397187736,-0.07566539718773413,0.07566539718773413,0.2645643258312382,28.579960626873113,0.020039373126888194,0.020039373126888194,0.07006773820590277,28.36206319589779,0.23793680410221185,0.23793680410221185,0.8319468674902513
2025-05-23 13:00:00,30.5,30.477410227665708,0.02258977233429249,0.02258977233429249,0.07406482732554914,30.509613773971136,-0.009613773971135942,0.009613773971135942,0.03152057039716702,30.153763832263976,0.3462361677360235,0.3462361677360235,1.1352005499541753
2025-05-23 14:00:00,30.8,30.775237490497656,0.024762509502345154,0.024762509502345154,0.08039775812449725,31.003262029601288,-0.20326202960128725,0.20326202960128725,0.6599416545496339,30.762637253601703,0.03736274639829773,0.03736274639829773,0.12130761817629133
2025-05-23 15:00:00,32.5,32.215931258349215,0.2840687416507848,0.2840687416507848,0.8740576666177993,32.434545233677134,0.06545476632286551,0.06545476632286551,0.20139928099343232,32.09104584375271,0.40895415624729026,0.40895415624729026,1.2583204807608932
2025-05-23 16:00:00,31.5,31.476310127732496,0.02368987226750363,0.02368987226750363,0.07520594370636073,31.498018737189525,0.0019812628104745045,0.0019812628104745045,0.006289723207855569,31.587861810889372,-0.08786181088937184,0.08786181088937184,0.27892638377578366
2025-05-23 17:00:00,32.6,32.2980714010373,0.30192859896270363,0.30192859896270363,0.9261613465113607,32.49366705599451,0.10633294400549431,0.10633294400549431,0.32617467486347945,32.37698419256248,0.2230158074375197,0.2230158074375197,0.6840975688267475
2025-05-23 18:00:00,32.8,32.36141345938106,0.4385865406189353,0.4385865406189353,1.3371540872528518,32.72389451669835,0.0761054833016459,0.0761054833016459,0.23202891250501803,32.432627596593996,0.3673724034060015,0.3673724034060015,1.1200378152622
2025-05-23 19:00:00,26.0,25.915151675015224,0.08484832498477601,0.08484832498477601,0.3263397114799077,25.975184452872245,0.02481554712775491,0.02481554712775491,0.09544441202982659,26.139859837003797,-0.13985983700379734,0.13985983700379734,0.5379224500146051
2025-05-23 20:00:00,25.9,25.847667477754793,0.052332522245205126,0.052332522245205126,0.20205607044480745,25.89623253981129,0.003767460188708327,0.003767460188708327,0.014546178334781185,25.996006872822598,-0.09600687282259912,0.09600687282259912,0.3706829066509619
2025-05-23 21:00:00,25.8,25.624597981120186,0.1754020188798151,0.1754020188798151,0.6798527863558725,25.76290465722174,0.03709534277826165,0.03709534277826165,0.14378039836535522,25.72418181975757,0.07581818024243248,0.07581818024243248,0.29386891566834294
2025-05-23 22:00:00,25.7,25.54168016973852,0.15831983026147967,0.15831983026147967,0.6160304679435007,25.64914127847697,0.05085872152302784,0.05085872152302784,0.19789385806625617,25.610184474143697,0.08981552585630226,0.08981552585630226,0.34947675430467806
2025-05-23 23:00:00,25.6,25.57926858605309,0.020731413946911914,0.020731413946911914,0.08098208573012466,25.60976068895186,-0.009760688951857333,0.009760688951857333,0.038127691218192705,25.655044406039075,-0.055044406039073124,0.055044406039073124,0.2150172110901294
