Modelo,MSE,RMSE,MAE,R²,Erro_Médio_Absoluto,Erro_Perc_Médio
Regressão Linear,0.04397501705263995,0.2097022104142919,0.1427396340905131,0.9951584854362978,0.1427396340905131,0.5008212922913412
Random Forest,0.01954297490699371,0.13979619060258297,0.09558968267441378,0.9978483783754531,0.09558968267441378,0.34127544996592596
SVR,0.19494940268563257,0.4415307494225431,0.34071089452850667,0.9785366684188502,0.34071089452850667,1.2821822939173286
